Starting_word, Answer : WordleBot, Precompute Entropy

Results for Starting Word: crane
crane, taken : 4, 3
crane, hound : 5, 4
crane, spank : 3, 3
crane, howdy : 4, 4
crane, rouse : 3, 3
crane, color : 4, 3
crane, shirt : 3, 3
crane, loopy : 6, 4
crane, judge : 7, 3
crane, wrote : 4, 4
crane, scene : 3, 2
crane, twist : 4, 4
crane, comic : 5, 3
crane, whack : 4, 3
crane, unite : 4, 3
crane, musty : 6, 3
crane, crust : 2, 3
crane, craze : 4, 2
crane, slyly : 5, 3
crane, apron : 4, 3
crane, width : 5, 4
crane, wight : 9, 4
crane, light : 5, 3
crane, clerk : 4, 3
crane, nomad : 5, 3
crane, blare : 4, 2
crane, adage : 5, 3
crane, being : 4, 3
crane, donut : 3, 3
crane, flung : 5, 3
crane, equal : 4, 3
crane, udder : 6, 5
crane, leash : 3, 3
crane, nerve : 5, 2
crane, windy : 6, 3
crane, nosey : 4, 4
crane, quart : 5, 4
crane, mushy : 5, 3
crane, woken : 6, 3
crane, anime : 4, 3
crane, niece : 3, 2
crane, abled : 5, 3
crane, impel : 3, 4
crane, cross : 6, 4
crane, truce : 4, 2
crane, greed : 4, 3
crane, azure : 5, 3
crane, trick : 2, 2
crane, extol : 4, 3
crane, dried : 6, 3
crane, carve : 2, 2
crane, mural : 5, 3
crane, wooer : 5, 5
crane, sound : 4, 4
crane, knack : 3, 2
crane, droll : 4, 4
crane, croup : 3, 3
crane, jelly : 5, 4
crane, shown : 5, 4
crane, cough : 4, 3
crane, crypt : 4, 3
crane, axion : 4, 4
crane, poser : 3, 4
crane, wrack : 3, 2
crane, scold : 4, 3
crane, spurt : 4, 3
crane, brave : 8, 3
crane, under : 4, 3
crane, mammy : 7, 4
crane, petal : 3, 2
crane, nobly : 5, 3
crane, shiny : 5, 3
crane, local : 6, 3
crane, slant : 3, 3
crane, angel : 3, 3
crane, skunk : 6, 3
crane, rehab : 6, 4
crane, cutie : 4, 3
crane, knave : 3, 2
crane, filer : 5, 4
crane, sleet : 3, 2
crane, admit : 5, 4
crane, gnome : 4, 3
crane, retry : 5, 3
crane, latte : 4, 3
crane, bison : 4, 3
crane, tiara : 4, 3
crane, kinky : 6, 4
crane, halve : 6, 3
crane, error : 4, 3
crane, storm : 4, 3
crane, savoy : 5, 3
crane, union : 3, 3
crane, plain : 3, 3
crane, sunny : 5, 3
crane, teeth : 6, 3
crane, panel : 3, 3
crane, recap : 2, 2
crane, weave : 6, 4
crane, torch : 2, 3
crane, tenor : 4, 3
crane, tramp : 5, 4
crane, sever : 8, 3
crane, devil : 4, 4
crane, shied : 4, 3
crane, great : 3, 3
crane, tumor : 4, 3
crane, flout : 4, 3
crane, terra : 4, 3
crane, bongo : 5, 4
crane, sling : 5, 3
crane, super : 4, 3
crane, masse : 4, 4
crane, trunk : 4, 3
crane, belly : 4, 3
crane, gaily : 5, 3
crane, forth : 5, 3
crane, exalt : 3, 3
crane, rover : 7, 4
crane, camel : 4, 2
crane, dusky : 4, 4
crane, trawl : 3, 4
crane, batty : 5, 4
crane, wedge : 6, 3
crane, voice : 5, 2
crane, fluff : 6, 4
crane, naval : 4, 3
crane, bosom : 4, 4
crane, brood : 4, 4
crane, level : 8, 4
crane, alive : 4, 3
crane, smelt : 4, 3
crane, lease : 3, 3
crane, weird : 5, 4
crane, bingo : 6, 4
crane, milky : 6, 4
crane, flush : 6, 3
crane, lapel : 4, 3
crane, scoff : 6, 4
crane, essay : 3, 3
crane, slack : 3, 3
crane, tulle : 5, 3
crane, total : 5, 4
crane, ebony : 4, 3
crane, skirt : 5, 4
crane, nylon : 5, 3
crane, ramen : 3, 2
crane, heady : 4, 3
crane, badly : 6, 3
crane, lance : 2, 2
crane, range : 2, 2
crane, lever : 6, 4
crane, amass : 5, 4
crane, farce : 2, 2
crane, louse : 3, 4
crane, civic : 4, 3
crane, poker : 8, 4
crane, curse : 2, 2
crane, bevel : 6, 3
crane, villa : 5, 3
crane, gusty : 7, 4
crane, verge : 7, 3
crane, gumbo : 5, 4
crane, leapt : 4, 4
crane, brawn : 5, 2
